Device/package EF3L40CG332B   datasheet:1.3

Number  Name                               Type            Posetion   Section
N20     IO_TE23P_1,D4                      Bidirectional   Right      2
N19     IO_TE23N_1,D5                      Bidirectional   Right      2
M17     IO_TE24P_1                         Bidirectional   Right      2
N17     IO_TE24N_1,USRCLK                  Bidirectional   Right      2
W20     IO_TE25P_1,CSN                     Bidirectional   Right      2
V19     IO_TE25N_1                         Bidirectional   Right      2
M16     IO_TE26P_1,SCLK                    Bidirectional   Right      2
P17     IO_TE26N_1                         Bidirectional   Right      2
P19     IO_TE27P_1,D2                      Bidirectional   Right      2
P18     IO_TE27N_1,D3                      Bidirectional   Right      2
P16     IO_TE28P_1,D0                      Bidirectional   Right      2
R16     IO_TE28N_1,D1                      Bidirectional   Right      2
R20     IO_TE29P_1                         Bidirectional   Right      2
R19     IO_TE29N_1                         Bidirectional   Right      2
U17     IO_TE30P_1                         Bidirectional   Right      2
T17     IO_TE30N_1                         Bidirectional   Right      2
N16     IO_TE31P_1                         Bidirectional   Right      2
R17     IO_TE31N_1                         Bidirectional   Right      2
U20     IO_TE32P_1                         Bidirectional   Right      2
U19     IO_TE32N_1                         Bidirectional   Right      2
T19     IO_TE35P_1                         Bidirectional   Right      2
T18     IO_TE35N_1                         Bidirectional   Right      2
V20     IO_TE34P_1                         Bidirectional   Right      2
U18     IO_TE34N_1                         Bidirectional   Right      2
R18     IO_TE33P_1                         Bidirectional   Right      2
T20     IO_TE33N_1                         Bidirectional   Right      2
U16     IO_R1P_2                           Bidirectional   Left       3
T15     IO_R1N_2                           Bidirectional   Left       3
W17     IO_R3P_2                           Bidirectional   Left       3
V17     IO_R3N_2                           Bidirectional   Left       3
V13     IO_R5P_2                           Bidirectional   Left       3
T13     IO_R5N_2                           Bidirectional   Left       3
T12     IO_R7P_2                           Bidirectional   Left       3
U13     IO_R7N_2                           Bidirectional   Left       3
W13     IO_R11P_2                          Bidirectional   Left       3
Y14     IO_R11N_2                          Bidirectional   Left       3
Y15     IO_R13P_2                          Bidirectional   Left       3
W15     IO_R13N_2                          Bidirectional   Left       3
V12     IO_R15P_2                          Bidirectional   Left       3
Y13     IO_R15N_2                          Bidirectional   Left       3
W11     IO_R17P_2                          Bidirectional   Left       3
V11     IO_R17N_2                          Bidirectional   Left       3
U10     IO_R19P_2                          Bidirectional   Left       3
U11     IO_R19N_2                          Bidirectional   Left       3
Y9      IO_R21P_2                          Bidirectional   Left       3
V10     IO_R21N_2                          Bidirectional   Left       3
U8      IO_R24P_2                          Bidirectional   Left       3
U9      IO_R24N_2                          Bidirectional   Left       3
V7      IO_R26P_2                          Bidirectional   Left       3
W7      IO_R26N_2                          Bidirectional   Left       3
W6      IO_R28P_2                          Bidirectional   Left       3
Y6      IO_R28N_2                          Bidirectional   Left       3
T6      IO_R30P_2                          Bidirectional   Left       3
U5      IO_R30N_2                          Bidirectional   Left       3
U4      IO_R32P_2                          Bidirectional   Left       3
T7      IO_R32N_2                          Bidirectional   Left       3
W3      IO_R34P_2                          Bidirectional   Left       3
Y2      IO_R34N_2                          Bidirectional   Left       3
U15     IO_RE2P_2                          Bidirectional   Right      3
T14     IO_RE2N_2                          Bidirectional   Right      3
U14     IO_RE4P_2                          Bidirectional   Right      3
V15     IO_RE4N_2                          Bidirectional   Right      3
W18     IO_RE6P_2                          Bidirectional   Right      3
Y18     IO_RE6N_2                          Bidirectional   Right      3
